"Yield","Easting","PassNo","Pair","Product","Northing","Pass","Predicted"
139.226769807541,216,1,1,"E",0.783072959421157,"1",133.220801891828
131.535935351134,216,2,1,"E",6.8630408585656,"2",135.67739796851
129.140773440201,216,3,2,"B",12.9852964518518,"3",149.617626687408
156.491482634976,216,4,2,"B",19.0984345227862,"4",152.087625090434
163.636680369683,216,5,3,"E",25.1816935720809,"5",143.079004544847
156.161889299633,216,6,3,"E",31.3085784454595,"6",145.554557309556
165.861947713099,216,7,4,"B",37.320366207733,"7",159.450151772959
180.21979467059,216,8,4,"B",43.4594654812367,"8",161.930639735971
132.06574725736,216,9,5,"E",49.4976038696288,"9",152.9037882983
133.005306604335,216,10,5,"E",55.6446310137961,"10",155.387479498067
156.961068484051,216,11,6,"B",61.6350571132918,"11",169.274442834363
173.256663183778,216,12,6,"B",67.7339494941491,"12",171.738685301591
164.792329964379,216,13,7,"E",73.7622992709295,"13",162.707878799825
159.063216126603,216,14,7,"E",79.9142402925501,"14",165.193555440051
182.33180291636,216,15,8,"B",86.0080040887833,"15",179.122272118883
185.075272348869,216,16,8,"B",92.093686219178,"16",181.581177017152
174.52824925003,216,17,9,"E",98.1548134744314,"17",172.563614175136
187.32511712949,216,18,9,"E",104.314751055382,"18",175.052521805616
189.860309540485,216,19,10,"B",110.340220433542,"19",188.953644292851
186.671392327381,216,20,10,"B",116.426924809464,"20",191.412962226949
174.971929918947,216,21,11,"E",122.447750322627,"21",182.37911556518
192.247442350469,216,22,11,"E",128.540554585316,"22",184.840898143541
194.586351881239,216,23,12,"B",134.522876331975,"23",198.724586936409
204.649772439691,216,24,12,"B",140.681138361472,"24",201.212817564482
